Character,Unicode,Name,Count
ی,U+06CC,ARABIC LETTER FARSI YEH,308
ن,U+0646,ARABIC LETTER NOON,1083
ق,U+0642,ARABIC LETTER QAF,670
ت,U+062A,ARABIC LETTER TEH,1022
",",U+002C,COMMA,2409
أ,U+0623,ARABIC LETTER ALEF WITH HAMZA ABOVE,444
خ,U+062E,ARABIC LETTER KHAH,357
ع,U+0639,ARABIC LETTER AIN,846
M,U+004D,LATIN CAPITAL LETTER M,826
ط,U+0637,ARABIC LETTER TAH,345
ج,U+062C,ARABIC LETTER JEEM,473
[,U+005B,LEFT SQUARE BRACKET,814
],U+005D,RIGHT SQUARE BRACKET,810
م,U+0645,ARABIC LETTER MEEM,1477
س,U+0633,ARABIC LETTER SEEN,719
T,U+0054,LATIN CAPITAL LETTER T,799
ش,U+0634,ARABIC LETTER SHEEN,426
G,U+0047,LATIN CAPITAL LETTER G,376
ئ,U+0626,ARABIC LETTER YEH WITH HAMZA ABOVE,68
ف,U+0641,ARABIC LETTER FEH,748
j,U+006A,LATIN SMALL LETTER J,145
آ,U+0622,ARABIC LETTER ALEF WITH MADDA ABOVE,41
ث,U+062B,ARABIC LETTER THEH,149
ء,U+0621,ARABIC LETTER HAMZA,53
پ,U+067E,ARABIC LETTER PEH,26
ظ,U+0638,ARABIC LETTER ZAH,58
W,U+0057,LATIN CAPITAL LETTER W,298
O,U+004F,LATIN CAPITAL LETTER O,395
F,U+0046,LATIN CAPITAL LETTER F,756
ܖ,U+0716,SYRIAC LETTER DOTLESS DALATH RISH,65
—,U+2014,EM DASH,15
–,U+2013,EN DASH,353
ܤ,U+0724,SYRIAC LETTER FINAL SEMKATH,9327
ܱ,U+0731,SYRIAC PTHAHA BELOW,15
J,U+004A,LATIN CAPITAL LETTER J,412
K,U+004B,LATIN CAPITAL LETTER K,298
’,U+2019,RIGHT SINGLE QUOTATION MARK,450
&,U+0026,AMPERSAND,52
V,U+0056,LATIN CAPITAL LETTER V,151
Z,U+005A,LATIN CAPITAL LETTER Z,22
z,U+007A,LATIN SMALL LETTER Z,317
ض,U+0636,ARABIC LETTER DAD,211
♱,U+2671,EAST SYRIAC CROSS,7
·,U+00B7,MIDDLE DOT,2
­,U+00AD,SOFT HYPHEN,3
;,U+003B,SEMICOLON,659
ذ,U+0630,ARABIC LETTER THAL,135
چ,U+0686,ARABIC LETTER TCHEH,14
ژ,U+0698,ARABIC LETTER JEH,1
|,U+007C,VERTICAL LINE,31
@,U+0040,COMMERCIAL AT,412
é,U+00E9,LATIN SMALL LETTER E WITH ACUTE,15
♰,U+2670,WEST SYRIAC CROSS,5
̄,U+0304,COMBINING MACRON,2818
ܜ,U+071C,SYRIAC LETTER TETH GARSHUNI,1231
̤,U+0324,COMBINING DIAERESIS BELOW,11
￼,U+FFFC,OBJECT REPLACEMENT CHARACTER,10
‍,U+200D,ZERO WIDTH JOINER,29
{,U+007B,LEFT CURLY BRACKET,187
},U+007D,RIGHT CURLY BRACKET,182
*,U+002A,ASTERISK,469
Q,U+0051,LATIN CAPITAL LETTER Q,40
܌,U+070C,SYRIAC HARKLEAN METOBELUS,94
ܴ,U+0734,SYRIAC ZQAPHA BELOW,1
݉,U+0749,SYRIAC MUSIC,142
܋,U+070B,SYRIAC HARKLEAN OBELUS,160
ܔ,U+0714,SYRIAC LETTER GAMAL GARSHUNI,8
‘,U+2018,LEFT SINGLE QUOTATION MARK,365
ܞ,U+071E,SYRIAC LETTER YUDH HE,2
ك,U+0643,ARABIC LETTER KAF,439
ي,U+064A,ARABIC LETTER YEH,1048
ى,U+0649,ARABIC LETTER ALEF MAKSURA,244
ؤ,U+0624,ARABIC LETTER WAW WITH HAMZA ABOVE,24
ً,U+064B,ARABIC FATHATAN,70
܇,U+0707,SYRIAC COLON SKEWED RIGHT,2
݊,U+074A,SYRIAC BARREKH,6
܉,U+0709,SYRIAC SUBLINEAR COLON SKEWED RIGHT,1
َ,U+064E,ARABIC FATHA,1768
ْ,U+0652,ARABIC SUKUN,14
ٌ,U+064C,ARABIC DAMMATAN,4
إ,U+0625,ARABIC LETTER ALEF WITH HAMZA BELOW,155
ܽ,U+073D,SYRIAC ESASA ABOVE,5
܍,U+070D,SYRIAC HARKLEAN ASTERISCUS,2
…,U+2026,HORIZONTAL ELLIPSIS,97
܃,U+0703,SYRIAC SUPRALINEAR COLON,40789
܂,U+0702,SYRIAC SUBLINEAR FULL STOP,24320
©,U+00A9,COPYRIGHT SIGN,9
܏,U+070F,SYRIAC ABBREVIATION MARK,6
,U+0002,UNKNOWN,740
ܺ,U+073A,SYRIAC HBASA ABOVE,6
ّ,U+0651,ARABIC SHADDA,597
X,U+0058,LATIN CAPITAL LETTER X,14
+,U+002B,PLUS SIGN,32
گ,U+06AF,ARABIC LETTER GAF,19
?,U+003F,QUESTION MARK,27
#,U+0023,NUMBER SIGN,2
%,U+0025,PERCENT SIGN,1
ï,U+00EF,LATIN SMALL LETTER I WITH DIAERESIS,1
